Code,Descriptor,Year Level,Learning Area,Subject,Strand,Sub-strand,Category,Linked Achievement IDs
AC9MFSP02,describe the position and location of themselves and objects in relation to other people and objects within a familiar space,Foundation,Mathematics,Mathematics,Measurement and Geometry,,,P-AS-05
AC9MFST01,"collect, sort and compare data represented by objects and images in response to given investigative questions that relate to familiar situations.",Foundation,Mathematics,Mathematics,Measurement and Geometry,,,P-AS-02
AC9S1H01,"describe how people use science in their daily lives, including using patterns to make scientific predictions",Year 1,Science,Science,Science as a Human Endeavour,,SHE-ScientificKnowledge,Y1-SCI-AS-04
AC9S1I01,pose questions to explore observed simple patterns and relationships and make predictions based on experiences,Year 1,Science,Science,Science Inquiry Skills,,SI-Questioning,Y1-SCI-AS-02
AC9S1I02,suggest and follow safe procedures to investigate questions and test predictions,Year 1,Science,Science,Science Inquiry Skills,,SI-Questioning,Y1-SCI-AS-05
AC9S1I03,"make and record observations, including informal measurements, using digital tools as appropriate",Year 1,Science,Science,Science Inquiry Skills,,SI-Measuring,Y1-SCI-AS-05
AC9S1I04,"sort and order data and information and represent patterns, including with provided tables and visual or physical models",Year 1,Science,Science,Science Inquiry Skills,,SI-IdentifyingPatterns,Y1-SCI-AS-08
AC9S1I05,"compare observations with predictions and others’ observations, consider if investigations are fair and identify further questions with guidance",Year 1,Science,Science,Science Inquiry Skills,,SI-Questioning,Y1-SCI-AS-09
AC9S1I06,"write and create texts to communicate observations, findings and ideas, using everyday and scientific vocabulary.",Year 1,Science,Science,Science Inquiry Skills,,SI-Communicating,Y1-SCI-AS-07
AC9S1U01,"identify the basic needs of plants and animals, including air, water, food or shelter, and describe how the places they live meet those needs",Year 1,Science,Science,Science Understanding,,SU-Biological,Y1-SCI-AS-01
AC9S1U02,describe daily and seasonal changes in the environment and explore how these changes affect everyday life,Year 1,Science,Science,Science Understanding,,SU-Biological,Y1-SCI-AS-06
AC9S1U03,describe pushes and pulls in terms of strength and direction and predict the effect of these forces on objects’ motion and shape,Year 1,Science,Science,Science Understanding,,SU-Physical,Y1-SCI-AS-03
AC9S2H01,"describe how people use science in their daily lives, including using patterns to make scientific predictions",Year 2,Science,Science,Science as a Human Endeavour,,SHE-ScientificKnowledge,Y2-SCI-AS-04
